Date,Open,High,Low,Close,Adj Close,Volume
8/5/1991,10,10,10,10,2.759739,0
8/6/1991,10.05,10.05,10.05,10.05,2.773538,0
8/7/1991,10.58,10.58,10.58,10.58,2.919804,0
8/8/1991,10.56,10.56,10.56,10.56,2.914285,0
8/9/1991,10.61,10.61,10.61,10.61,2.928084,0
8/12/1991,10.61,10.61,10.61,10.61,2.928084,0
8/13/1991,10.63,10.63,10.63,10.63,2.933603,0
8/14/1991,10.63,10.63,10.63,10.63,2.933603,0
8/15/1991,10.71,10.71,10.71,10.71,2.955681,0
8/16/1991,10.7,10.7,10.7,10.7,2.952921,0
8/19/1991,10.47,10.47,10.47,10.47,2.889447,0
8/20/1991,10.51,10.51,10.51,10.51,2.900486,0
8/21/1991,10.71,10.71,10.71,10.71,2.955681,0
8/22/1991,10.68,10.68,10.68,10.68,2.947402,0
8/23/1991,10.71,10.71,10.71,10.71,2.955681,0
8/26/1991,10.69,10.69,10.69,10.69,2.950161,0
8/27/1991,10.8,10.8,10.8,10.8,2.980519,0
8/28/1991,10.97,10.97,10.97,10.97,3.027434,0
8/29/1991,11,11,11,11,3.035714,0
8/30/1991,10.99,10.99,10.99,10.99,3.032954,0
9/3/1991,10.91,10.91,10.91,10.91,3.010876,0
9/4/1991,10.79,10.79,10.79,10.79,2.977759,0
9/5/1991,10.89,10.89,10.89,10.89,3.005357,0
9/6/1991,10.9,10.9,10.9,10.9,3.008116,0
9/9/1991,10.89,10.89,10.89,10.89,3.005357,0
9/10/1991,10.86,10.86,10.86,10.86,2.997077,0
9/11/1991,10.83,10.83,10.83,10.83,2.988797,0
9/12/1991,10.91,10.91,10.91,10.91,3.010876,0
9/13/1991,10.87,10.87,10.87,10.87,2.999837,0
9/16/1991,10.92,10.92,10.92,10.92,3.013635,0
9/17/1991,10.94,10.94,10.94,10.94,3.019155,0
9/18/1991,10.93,10.93,10.93,10.93,3.016396,0
9/19/1991,11,11,11,11,3.035714,0
9/20/1991,11.01,11.01,11.01,11.01,3.038473,0
9/23/1991,11.03,11.03,11.03,11.03,3.043993,0
9/24/1991,11.01,11.01,11.01,11.01,3.038473,0
9/25/1991,11.05,11.05,11.05,11.05,3.049513,0
9/26/1991,11.05,11.05,11.05,11.05,3.049513,0
9/27/1991,11.04,11.04,11.04,11.04,3.046752,0
9/30/1991,11.05,11.05,11.05,11.05,3.049513,0
10/1/1991,11.06,11.06,11.06,11.06,3.052272,0
10/2/1991,11.08,11.08,11.08,11.08,3.057791,0
10/3/1991,11.01,11.01,11.01,11.01,3.038473,0
10/4/1991,10.96,10.96,10.96,10.96,3.024675,0
10/7/1991,10.92,10.92,10.92,10.92,3.013635,0
10/8/1991,10.98,10.98,10.98,10.98,3.030195,0
10/9/1991,10.9,10.9,10.9,10.9,3.008116,0
10/10/1991,10.95,10.95,10.95,10.95,3.021914,0
10/11/1991,10.98,10.98,10.98,10.98,3.030195,0
10/14/1991,11.06,11.06,11.06,11.06,3.052272,0
10/15/1991,11.13,11.13,11.13,11.13,3.07159,0
10/16/1991,11.22,11.22,11.22,11.22,3.096427,0
10/17/1991,11.24,11.24,11.24,11.24,3.101947,0
10/18/1991,11.26,11.26,11.26,11.26,3.107466,0
10/21/1991,11.16,11.16,11.16,11.16,3.07987,0
10/22/1991,11.08,11.08,11.08,11.08,3.057791,0
10/23/1991,11.06,11.06,11.06,11.06,3.052272,0
10/24/1991,11.06,11.06,11.06,11.06,3.052272,0
10/25/1991,11.16,11.16,11.16,11.16,3.07987,0
10/28/1991,11.3,11.3,11.3,11.3,3.118506,0
10/29/1991,11.38,11.38,11.38,11.38,3.140583,0
10/30/1991,11.58,11.58,11.58,11.58,3.195779,0
10/31/1991,12.1,12.1,12.1,12.1,3.339285,0
11/1/1991,12.07,12.07,12.07,12.07,3.331006,0
11/4/1991,11.99,11.99,11.99,11.99,3.308927,0
11/5/1991,12.02,12.02,12.02,12.02,3.317207,0
11/6/1991,12.02,12.02,12.02,12.02,3.317207,0
11/7/1991,12.16,12.16,12.16,12.16,3.355844,0
11/8/1991,12.2,12.2,12.2,12.2,3.366883,0
11/11/1991,12.24,12.24,12.24,12.24,3.377921,0
11/12/1991,12.27,12.27,12.27,12.27,3.3862,0
11/13/1991,12.28,12.28,12.28,12.28,3.38896,0
11/14/1991,12.39,12.39,12.39,12.39,3.419317,0
11/15/1991,12.19,12.19,12.19,12.19,3.364123,0
11/18/1991,12.18,12.18,12.18,12.18,3.361363,0
11/19/1991,12.06,12.06,12.06,12.06,3.328246,0
11/20/1991,12.09,12.09,12.09,12.09,3.336525,0
11/21/1991,12.17,12.17,12.17,12.17,3.358603,0
11/22/1991,12.07,12.07,12.07,12.07,3.331006,0
11/25/1991,12.02,12.02,12.02,12.02,3.317207,0
11/26/1991,12.02,12.02,12.02,12.02,3.317207,0
11/27/1991,12.03,12.03,12.03,12.03,3.319967,0
11/29/1991,12.02,12.02,12.02,12.02,3.317207,0
12/2/1991,12.05,12.05,12.05,12.05,3.325486,0
12/3/1991,12.03,12.03,12.03,12.03,3.319967,0
12/4/1991,12.05,12.05,12.05,12.05,3.325486,0
12/5/1991,12.05,12.05,12.05,12.05,3.325486,0
12/6/1991,11.98,11.98,11.98,11.98,3.306168,0
12/9/1991,12,12,12,12,3.311688,0
12/10/1991,11.93,11.93,11.93,11.93,3.29237,0
12/11/1991,11.9,11.9,11.9,11.9,3.284089,0
12/12/1991,11.98,11.98,11.98,11.98,3.306168,0
12/13/1991,12.08,12.08,12.08,12.08,3.333766,0
12/16/1991,12.1,12.1,12.1,12.1,3.339285,0
12/17/1991,12.03,12.03,12.03,12.03,3.319967,0
12/18/1991,12,12,12,12,3.311688,0
12/19/1991,12.02,12.02,12.02,12.02,3.317207,0
12/20/1991,12.08,12.08,12.08,12.08,3.333766,0
12/23/1991,12.17,12.17,12.17,12.17,3.358603,0
12/24/1991,12.23,12.23,12.23,12.23,3.375161,0
12/26/1991,12.39,12.39,12.39,12.39,3.419317,0
12/27/1991,12.52,12.52,12.52,12.52,3.455194,0
12/30/1991,12.75,12.75,12.75,12.75,3.518668,0
12/31/1991,13.02,13.02,13.02,13.02,3.593181,0
1/2/1992,12.98,12.98,12.98,12.98,3.582142,0
1/3/1992,13.01,13.01,13.01,13.01,3.590421,0
1/6/1992,13.07,13.07,13.07,13.07,3.60698,0
1/7/1992,13.13,13.13,13.13,13.13,3.623538,0
1/8/1992,13.11,13.11,13.11,13.11,3.618018,0
1/9/1992,13.22,13.22,13.22,13.22,3.648375,0
1/10/1992,13.29,13.29,13.29,13.29,3.667693,0
1/13/1992,13.33,13.33,13.33,13.33,3.678733,0
1/14/1992,13.56,13.56,13.56,13.56,3.742208,0
1/15/1992,13.74,13.74,13.74,13.74,3.791882,0
1/16/1992,13.74,13.74,13.74,13.74,3.791882,0
1/17/1992,13.79,13.79,13.79,13.79,3.805682,0
1/20/1992,13.83,13.83,13.83,13.83,3.816719,0
1/21/1992,13.71,13.71,13.71,13.71,3.783602,0
1/22/1992,13.85,13.85,13.85,13.85,3.822241,0
1/23/1992,13.91,13.91,13.91,13.91,3.838798,0
1/24/1992,13.91,13.91,13.91,13.91,3.838798,0
1/27/1992,13.9,13.9,13.9,13.9,3.836039,0
1/28/1992,13.92,13.92,13.92,13.92,3.841557,0
1/29/1992,13.77,13.77,13.77,13.77,3.800161,0
1/30/1992,13.86,13.86,13.86,13.86,3.824999,0
1/31/1992,13.91,13.91,13.91,13.91,3.838798,0
2/3/1992,13.95,13.95,13.95,13.95,3.849836,0
2/4/1992,14.01,14.01,14.01,14.01,3.866395,0
2/5/1992,14.03,14.03,14.03,14.03,3.871914,0
2/6/1992,14.11,14.11,14.11,14.11,3.893993,0
2/7/1992,14.09,14.09,14.09,14.09,3.888472,0
2/10/1992,14.12,14.12,14.12,14.12,3.896753,0
2/11/1992,14.05,14.05,14.05,14.05,3.877434,0
2/12/1992,14.34,14.34,14.34,14.34,3.957467,0
2/13/1992,14.27,14.27,14.27,14.27,3.93815,0
