Date,Open,High,Low,Close,Adj Close,Volume
1/4/1960,4.52,4.52,4.52,4.52,4.52,0
1/5/1960,4.55,4.55,4.55,4.55,4.55,0
1/6/1960,4.68,4.68,4.68,4.68,4.68,0
1/7/1960,4.63,4.63,4.63,4.63,4.63,0
1/8/1960,4.59,4.59,4.59,4.59,4.59,0
1/10/1960,null,null,null,null,null,null
1/11/1960,4.54,4.54,4.54,4.54,4.54,0
1/12/1960,4.54,4.54,4.54,4.54,4.54,0
1/13/1960,4.56,4.56,4.56,4.56,4.56,0
1/14/1960,4.51,4.51,4.51,4.51,4.51,0
1/15/1960,4.49,4.49,4.49,4.49,4.49,0
1/17/1960,null,null,null,null,null,null
1/18/1960,4.37,4.37,4.37,4.37,4.37,0
1/19/1960,4.31,4.31,4.31,4.31,4.31,0
1/20/1960,4.3,4.3,4.3,4.3,4.3,0
1/21/1960,4.27,4.27,4.27,4.27,4.27,0
1/22/1960,4.12,4.12,4.12,4.12,4.12,0
1/24/1960,null,null,null,null,null,null
1/25/1960,4.12,4.12,4.12,4.12,4.12,0
1/26/1960,4.04,4.04,4.04,4.04,4.04,0
1/27/1960,3.99,3.99,3.99,3.99,3.99,0
1/28/1960,3.92,3.92,3.92,3.92,3.92,0
1/29/1960,3.99,3.99,3.99,3.99,3.99,0
1/31/1960,null,null,null,null,null,null
2/1/1960,4,4,4,4,4,0
2/2/1960,3.96,3.96,3.96,3.96,3.96,0
2/3/1960,4,4,4,4,4,0
2/4/1960,3.95,3.95,3.95,3.95,3.95,0
2/5/1960,3.8,3.8,3.8,3.8,3.8,0
2/7/1960,null,null,null,null,null,null
2/8/1960,3.55,3.55,3.55,3.55,3.55,0
2/9/1960,3.58,3.58,3.58,3.58,3.58,0
2/10/1960,3.7,3.7,3.7,3.7,3.7,0
2/11/1960,3.85,3.85,3.85,3.85,3.85,0
2/12/1960,null,null,null,null,null,null
2/14/1960,null,null,null,null,null,null
2/15/1960,3.96,3.96,3.96,3.96,3.96,0
2/16/1960,4.04,4.04,4.04,4.04,4.04,0
2/17/1960,4.07,4.07,4.07,4.07,4.07,0
2/18/1960,4.04,4.04,4.04,4.04,4.04,0
2/19/1960,4.08,4.08,4.08,4.08,4.08,0
2/21/1960,null,null,null,null,null,null
2/22/1960,null,null,null,null,null,null
2/23/1960,4.06,4.06,4.06,4.06,4.06,0
2/24/1960,4.13,4.13,4.13,4.13,4.13,0
2/25/1960,4.17,4.17,4.17,4.17,4.17,0
2/26/1960,4.19,4.19,4.19,4.19,4.19,0
2/28/1960,null,null,null,null,null,null
2/29/1960,4.19,4.19,4.19,4.19,4.19,0
3/1/1960,4.09,4.09,4.09,4.09,4.09,0
3/2/1960,3.98,3.98,3.98,3.98,3.98,0
3/3/1960,3.7,3.7,3.7,3.7,3.7,0
3/4/1960,3.64,3.64,3.64,3.64,3.64,0
3/6/1960,null,null,null,null,null,null
3/7/1960,3.54,3.54,3.54,3.54,3.54,0
3/8/1960,3.56,3.56,3.56,3.56,3.56,0
3/9/1960,3.64,3.64,3.64,3.64,3.64,0
3/10/1960,3.66,3.66,3.66,3.66,3.66,0
3/11/1960,3.59,3.59,3.59,3.59,3.59,0
3/13/1960,null,null,null,null,null,null
3/14/1960,3.44,3.44,3.44,3.44,3.44,0
3/15/1960,3.46,3.46,3.46,3.46,3.46,0
3/16/1960,3.43,3.43,3.43,3.43,3.43,0
3/17/1960,3.44,3.44,3.44,3.44,3.44,0
3/18/1960,3.3,3.3,3.3,3.3,3.3,0
3/20/1960,null,null,null,null,null,null
3/21/1960,3.05,3.05,3.05,3.05,3.05,0
3/22/1960,2.9,2.9,2.9,2.9,2.9,0
3/23/1960,2.77,2.77,2.77,2.77,2.77,0
3/24/1960,2.82,2.82,2.82,2.82,2.82,0
3/25/1960,2.68,2.68,2.68,2.68,2.68,0
3/27/1960,null,null,null,null,null,null
3/28/1960,2.78,2.78,2.78,2.78,2.78,0
3/29/1960,2.83,2.83,2.83,2.83,2.83,0
3/30/1960,2.92,2.92,2.92,2.92,2.92,0
3/31/1960,3.02,3.02,3.02,3.02,3.02,0
4/1/1960,2.84,2.84,2.84,2.84,2.84,0
4/3/1960,null,null,null,null,null,null
4/4/1960,2.72,2.72,2.72,2.72,2.72,0
4/5/1960,2.8,2.8,2.8,2.8,2.8,0
4/6/1960,2.92,2.92,2.92,2.92,2.92,0
4/7/1960,3.05,3.05,3.05,3.05,3.05,0
4/8/1960,3.3,3.3,3.3,3.3,3.3,0
4/10/1960,null,null,null,null,null,null
4/11/1960,3.55,3.55,3.55,3.55,3.55,0
4/12/1960,3.6,3.6,3.6,3.6,3.6,0
4/13/1960,3.57,3.57,3.57,3.57,3.57,0
4/14/1960,3.52,3.52,3.52,3.52,3.52,0
4/15/1960,null,null,null,null,null,null
4/17/1960,null,null,null,null,null,null
4/18/1960,3.28,3.28,3.28,3.28,3.28,0
4/19/1960,3.34,3.34,3.34,3.34,3.34,0
4/20/1960,3.34,3.34,3.34,3.34,3.34,0
4/21/1960,3.35,3.35,3.35,3.35,3.35,0
4/22/1960,3.37,3.37,3.37,3.37,3.37,0
4/24/1960,null,null,null,null,null,null
4/25/1960,3.26,3.26,3.26,3.26,3.26,0
4/26/1960,3.25,3.25,3.25,3.25,3.25,0
4/27/1960,3.25,3.25,3.25,3.25,3.25,0
4/28/1960,3.16,3.16,3.16,3.16,3.16,0
4/29/1960,3.04,3.04,3.04,3.04,3.04,0
5/1/1960,null,null,null,null,null,null
5/2/1960,3.03,3.03,3.03,3.03,3.03,0
5/3/1960,3.14,3.14,3.14,3.14,3.14,0
5/4/1960,3.12,3.12,3.12,3.12,3.12,0
5/5/1960,3.09,3.09,3.09,3.09,3.09,0
5/6/1960,3.04,3.04,3.04,3.04,3.04,0
5/8/1960,null,null,null,null,null,null
5/9/1960,3.22,3.22,3.22,3.22,3.22,0
5/10/1960,3.25,3.25,3.25,3.25,3.25,0
5/11/1960,3.31,3.31,3.31,3.31,3.31,0
5/12/1960,3.36,3.36,3.36,3.36,3.36,0
5/13/1960,3.44,3.44,3.44,3.44,3.44,0
5/15/1960,null,null,null,null,null,null
5/16/1960,3.62,3.62,3.62,3.62,3.62,0
5/17/1960,3.54,3.54,3.54,3.54,3.54,0
5/18/1960,3.67,3.67,3.67,3.67,3.67,0
5/19/1960,3.42,3.42,3.42,3.42,3.42,0
5/20/1960,3.25,3.25,3.25,3.25,3.25,0
5/22/1960,null,null,null,null,null,null
5/23/1960,3.42,3.42,3.42,3.42,3.42,0
5/24/1960,3.36,3.36,3.36,3.36,3.36,0
5/25/1960,3.32,3.32,3.32,3.32,3.32,0
5/26/1960,3.26,3.26,3.26,3.26,3.26,0
5/27/1960,3.09,3.09,3.09,3.09,3.09,0
5/29/1960,null,null,null,null,null,null
5/30/1960,null,null,null,null,null,null
5/31/1960,3.12,3.12,3.12,3.12,3.12,0
6/1/1960,3.06,3.06,3.06,3.06,3.06,0
6/2/1960,2.92,2.92,2.92,2.92,2.92,0
6/3/1960,2.65,2.65,2.65,2.65,2.65,0
6/5/1960,null,null,null,null,null,null
6/6/1960,2.62,2.62,2.62,2.62,2.62,0
6/7/1960,2.68,2.68,2.68,2.68,2.68,0
6/8/1960,2.75,2.75,2.75,2.75,2.75,0
6/9/1960,2.63,2.63,2.63,2.63,2.63,0
6/10/1960,2.38,2.38,2.38,2.38,2.38,0
6/12/1960,null,null,null,null,null,null
6/13/1960,2.29,2.29,2.29,2.29,2.29,0
6/14/1960,2.29,2.29,2.29,2.29,2.29,0
6/15/1960,2.27,2.27,2.27,2.27,2.27,0
6/16/1960,2.32,2.32,2.32,2.32,2.32,0
6/17/1960,2.37,2.37,2.37,2.37,2.37,0
6/19/1960,null,null,null,null,null,null
6/20/1960,2.55,2.55,2.55,2.55,2.55,0
6/21/1960,2.32,2.32,2.32,2.32,2.32,0
6/22/1960,2.36,2.36,2.36,2.36,2.36,0
6/23/1960,2.39,2.39,2.39,2.39,2.39,0
6/24/1960,2.35,2.35,2.35,2.35,2.35,0
6/26/1960,null,null,null,null,null,null
6/27/1960,2.31,2.31,2.31,2.31,2.31,0
6/28/1960,2.2,2.2,2.2,2.2,2.2,0
6/29/1960,2.14,2.14,2.14,2.14,2.14,0
6/30/1960,2.19,2.19,2.19,2.19,2.19,0
7/1/1960,2.05,2.05,2.05,2.05,2.05,0
7/3/1960,null,null,null,null,null,null
7/4/1960,null,null,null,null,null,null
7/5/1960,2.1,2.1,2.1,2.1,2.1,0
7/6/1960,2.25,2.25,2.25,2.25,2.25,0
7/7/1960,2.34,2.34,2.34,2.34,2.34,0
7/8/1960,2.39,2.39,2.39,2.39,2.39,0
7/10/1960,null,null,null,null,null,null
7/11/1960,2.49,2.49,2.49,2.49,2.49,0
7/12/1960,2.42,2.42,2.42,2.42,2.42,0
7/13/1960,2.46,2.46,2.46,2.46,2.46,0
7/14/1960,2.37,2.37,2.37,2.37,2.37,0
7/15/1960,2.31,2.31,2.31,2.31,2.31,0
7/17/1960,null,null,null,null,null,null
7/18/1960,2.26,2.26,2.26,2.26,2.26,0
7/19/1960,2.28,2.28,2.28,2.28,2.28,0
7/20/1960,2.34,2.34,2.34,2.34,2.34,0
7/21/1960,2.34,2.34,2.34,2.34,2.34,0
7/22/1960,2.35,2.35,2.35,2.35,2.35,0
7/24/1960,null,null,null,null,null,null
7/25/1960,2.31,2.31,2.31,2.31,2.31,0
7/26/1960,2.23,2.23,2.23,2.23,2.23,0
7/27/1960,2.23,2.23,2.23,2.23,2.23,0
7/28/1960,2.23,2.23,2.23,2.23,2.23,0
7/29/1960,2.19,2.19,2.19,2.19,2.19,0
7/31/1960,null,null,null,null,null,null
8/1/1960,2.1,2.1,2.1,2.1,2.1,0
8/2/1960,2.12,2.12,2.12,2.12,2.12,0
8/3/1960,2.17,2.17,2.17,2.17,2.17,0
8/4/1960,2.15,2.15,2.15,2.15,2.15,0
8/5/1960,2.13,2.13,2.13,2.13,2.13,0
